,school,sex,age,address,Mjob,Fjob,guardian,traveltime,studytime,paid,nursery,internet,absences,G1,G2,G3,G3_pred
292,GP,F,17.0,U,health,health,father,1.0,4.0,yes,no,yes,0.0,17.0,17.0,A,B
242,GP,M,19.0,U,other,other,other,1.0,2.0,no,yes,yes,20.0,15.0,14.0,B,D
277,GP,F,18.0,U,services,at_home,other,1.0,2.0,yes,yes,yes,8.0,14.0,12.0,B,C
211,,,,,,,,,,,,,,,,,B
9,GP,M,19.0,U,teacher,services,other,2.0,1.0,yes,yes,yes,38.0,8.0,9.0,C,A
359,,,,,,,,,,,,,,,,,A
195,,,,,,,,,,,,,,,,,A
251,GP,F,19.0,U,services,services,other,1.0,2.0,no,no,no,0.0,9.0,9.0,D,C
323,GP,F,19.0,U,at_home,other,other,3.0,2.0,no,yes,yes,20.0,14.0,12.0,B,A
192,GP,M,19.0,U,other,services,other,1.0,2.0,no,no,yes,3.0,13.0,11.0,B,C
117,GP,F,19.0,U,services,other,other,2.0,2.0,yes,no,yes,22.0,13.0,10.0,B,B
47,GP,F,19.0,U,at_home,health,other,1.0,3.0,no,no,yes,14.0,15.0,13.0,B,A
172,GP,F,19.0,R,other,other,other,1.0,3.0,no,yes,yes,40.0,13.0,11.0,B,B
